Time_Index,None,west_south_central_reference_naturalgas,west_south_central_reference_uranium,west_south_central_reference_naturalgas_ccs90
0,0,0.05306,0,0.00531
1,0,3.89,0.73,4.37
2,0,3.89,0.73,4.37
3,0,3.89,0.73,4.37
4,0,3.89,0.73,4.37
5,0,3.89,0.73,4.37
6,0,3.89,0.73,4.37
7,0,3.89,0.73,4.37
8,0,3.89,0.73,4.37
9,0,3.89,0.73,4.37
10,0,3.89,0.73,4.37
11,0,3.89,0.73,4.37
12,0,3.89,0.73,4.37
13,0,3.89,0.73,4.37
14,0,3.89,0.73,4.37
15,0,3.89,0.73,4.37
16,0,3.89,0.73,4.37
17,0,3.89,0.73,4.37
18,0,3.89,0.73,4.37
19,0,3.89,0.73,4.37
20,0,3.89,0.73,4.37
21,0,3.89,0.73,4.37
22,0,3.89,0.73,4.37
23,0,3.89,0.73,4.37
24,0,3.89,0.73,4.37
25,0,3.89,0.73,4.37
26,0,3.89,0.73,4.37
27,0,3.89,0.73,4.37
28,0,3.89,0.73,4.37
29,0,3.89,0.73,4.37
30,0,3.89,0.73,4.37
31,0,3.89,0.73,4.37
32,0,3.89,0.73,4.37
33,0,3.89,0.73,4.37
34,0,3.89,0.73,4.37
35,0,3.89,0.73,4.37
36,0,3.89,0.73,4.37
37,0,3.89,0.73,4.37
38,0,3.89,0.73,4.37
39,0,3.89,0.73,4.37
40,0,3.89,0.73,4.37
41,0,3.89,0.73,4.37
42,0,3.89,0.73,4.37
43,0,3.89,0.73,4.37
44,0,3.89,0.73,4.37
45,0,3.89,0.73,4.37
46,0,3.89,0.73,4.37
47,0,3.89,0.73,4.37
48,0,3.89,0.73,4.37
49,0,3.89,0.73,4.37
50,0,3.89,0.73,4.37
51,0,3.89,0.73,4.37
52,0,3.89,0.73,4.37
53,0,3.89,0.73,4.37
54,0,3.89,0.73,4.37
55,0,3.89,0.73,4.37
56,0,3.89,0.73,4.37
57,0,3.89,0.73,4.37
58,0,3.89,0.73,4.37
59,0,3.89,0.73,4.37
60,0,3.89,0.73,4.37
61,0,3.89,0.73,4.37
62,0,3.89,0.73,4.37
63,0,3.89,0.73,4.37
64,0,3.89,0.73,4.37
65,0,3.89,0.73,4.37
66,0,3.89,0.73,4.37
67,0,3.89,0.73,4.37
68,0,3.89,0.73,4.37
69,0,3.89,0.73,4.37
70,0,3.89,0.73,4.37
71,0,3.89,0.73,4.37
72,0,3.89,0.73,4.37
73,0,3.89,0.73,4.37
