Resource,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,Resource_Type,CapRes_1,CapRes_2,CapRes_3,ESR_1,ESR_2,region,cluster,VRE_Trans_Cost_per_MWyr,CCS_Rate,MGA
ERC_PHDL_onshore_wind_turbine_1,3,0,0,0,0,0,1,0,1,0,588,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,8.773,None,294,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,Onshore Wind Turbine,0,0,0.8,1,1,ERC_PHDL,1,0,0,1
ERC_REST_conventional_hydroelectric_1,1,0,0,0,0,1,0,0,0,-1,483.9,0,0,0,-1,-1,0,0,0,0,0,0,46475,0,0,0,0,8.779,None,19.356,0,0,0,0,0.083,0.083,0,0.0069,0,1,1,0,0,0,0,0,0,Conventional Hydroelectric,0.8,0,0,0,1,ERC_REST,1,0,0,1
ERC_REST_natural_gas_fired_combined_cycle_1,1,1,0,0,0,0,0,0,0,0,13281.507,0,0,0,-1,-1,0,0,0,0,0,0,9668,0,0,3.567,0,7.293,west_south_central_reference_naturalgas,457.983,90.959,2,6,6,1,1,1,0.447,0,1,1,0,0,0.106666667,0.213333333,0,0,Natural Gas Fired Combined Cycle,0.93,0,0,0,0,ERC_REST,1,0,0,1
ERC_REST_natural_gas_fired_combined_cycle_2,1,1,0,0,0,0,0,0,0,0,3524.906,0,0,0,-1,-1,0,0,0,0,0,0,16291,0,0,4.495,0,8.975,west_south_central_reference_naturalgas,251.779,90.959,2,6,6,1,1,1,0.475,0,1,1,0,0,0.106666667,0.213333333,0,0,Natural Gas Fired Combined Cycle,0.93,0,0,0,0,ERC_REST,2,0,0,1
ERC_REST_natural_gas_fired_combined_cycle_3,1,1,0,0,0,0,0,0,0,0,14390.01,0,0,0,-1,-1,0,0,0,0,0,0,12182,0,0,3.515,0,7.343,west_south_central_reference_naturalgas,479.667,90.959,2,6,6,1,1,1,0.445,0,1,1,0,0,0.106666667,0.213333333,0,0,Natural Gas Fired Combined Cycle,0.93,0,0,0,0,ERC_REST,3,0,0,1
ERC_REST_natural_gas_fired_combined_cycle_4,1,1,0,0,0,0,0,0,0,0,3481.3,0,0,0,-1,-1,0,0,0,0,0,0,10538.184,0,0,3.549,0,10.543,west_south_central_reference_naturalgas,696.26,90.959,2,6,6,1,1,1,0.555,0,1,1,0,0,0.106666667,0.213333333,0,0,Natural Gas Fired Combined Cycle,0.93,0,0,0,0,ERC_REST,4,0,0,1
ERC_REST_natural_gas_fired_combustion_turbine_1,1,1,0,0,0,0,0,0,0,0,3640.896,0,0,0,-1,-1,0,0,0,0,0,0,10513.718,0,0,5.06,0,11.011,west_south_central_reference_naturalgas,56.889,117.941,3.5,1,1,1,1,1,0.446,0,1,1,0,0,0.63,1.26,0,0,Natural Gas Fired Combustion Turbine,0.93,0,0,0,0,ERC_REST,1,0,0,1
ERC_REST_natural_gas_fired_combustion_turbine_2,1,1,0,0,0,0,0,0,0,0,908.3,0,0,0,-1,-1,0,0,0,0,0,0,13830,0,0,5.06,0,10.288,west_south_central_reference_naturalgas,36.332,117.941,3.5,1,1,1,1,1,0.493,0,1,1,0,0,0.63,1.26,0,0,Natural Gas Fired Combustion Turbine,0.93,0,0,0,0,ERC_REST,2,0,0,1
ERC_REST_nuclear_1,1,1,0,0,0,0,0,0,0,0,2660,0,0,0,-1,-1,0,0,0,0,0,0,190920,0,0,0,0,10.446,west_south_central_reference_uranium,1330,1000,0,24,24,0.25,0.25,1,0.5,0,1,1,0,0,0.041666667,0.083333333,0,0,Nuclear,0.93,0,0,0,1,ERC_REST,1,0,0,1
ERC_REST_nuclear_2,1,1,0,0,0,0,0,0,0,0,2460,0,0,0,-1,-1,0,0,0,0,0,0,190920,0,0,0,0,10.446,west_south_central_reference_uranium,1230,1000,0,24,24,0.25,0.25,1,0.5,0,1,1,0,0,0.041666667,0.083333333,0,0,Nuclear,0.93,0,0,0,1,ERC_REST,2,0,0,1
ERC_REST_onshore_wind_turbine_1,1,0,0,0,0,0,1,0,1,0,2812.8,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,9.21,None,234.4,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,Onshore Wind Turbine,0.8,0,0,1,1,ERC_REST,1,0,0,1
ERC_REST_small_hydroelectric_1,1,0,1,0,0,0,0,0,0,-1,9.552,0,0,0,-1,-1,0,0,0,0,0,0,46475,0,0,0,0,8.778,None,0.597,0,0,0,0,1,1,1,0.0069,0,1,1,0,0,0,0,0,0,Small Hydroelectric,0,0,0,1,1,ERC_REST,1,0,0,1
ERC_REST_solar_photovoltaic_1,1,0,0,0,0,0,1,0,1,0,6563.28,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,9.192,None,82.041,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,Solar Photovoltaic,0.8,0,0,1,1,ERC_REST,1,0,0,1
ERC_WEST_natural_gas_fired_combined_cycle_1,2,1,0,0,0,0,0,0,0,0,1462.398,0,0,0,-1,-1,0,0,0,0,0,0,9668,0,0,3.567,0,6.41,west_south_central_reference_naturalgas,243.733,90.959,2,6,6,1,1,1,0.3,0,1,1,0,0,0.106666667,0.213333333,0,0,Natural Gas Fired Combined Cycle,0,0.93,0,0,0,ERC_WEST,1,0,0,1
ERC_WEST_natural_gas_fired_combined_cycle_2,2,1,0,0,0,0,0,0,0,0,532.2,0,0,0,-1,-1,0,0,0,0,0,0,9668,0,0,3.567,0,8.512,west_south_central_reference_naturalgas,266.1,90.959,2,6,6,1,1,1,0.631,0,1,1,0,0,0.106666667,0.213333333,0,0,Natural Gas Fired Combined Cycle,0,0.93,0,0,0,ERC_WEST,2,0,0,1
