Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
50000,1,1,1,50000,1,24,1,1,50169.49689,2228.385312,450.7873104
,,,,,,,,2,48055.51672,2134.48837,431.7925927
,,,,,,,,3,45845.45668,2036.323834,411.9345696
,,,,,,,,4,44484.15148,1975.858557,399.7028522
,,,,,,,,5,43515.9891,1932.855559,391.0036357
,,,,,,,,6,42839.51481,1902.808509,384.9253204
,,,,,,,,7,43869.33872,1948.550336,394.1785834
,,,,,,,,8,46276.80139,2055.48293,415.8103255
,,,,,,,,9,48939.22387,2173.740109,439.7329547
,,,,,,,,10,50889.36902,2260.359969,457.2555678
,,,,,,,,11,53440.3781,2373.668484,480.1771157
,,,,,,,,12,54822.70465,2435.067468,492.5977159
,,,,,,,,13,57310.21353,2545.555486,514.9486963
,,,,,,,,14,59585.13744,2646.601088,535.3895397
,,,,,,,,15,59475.44839,2641.729015,534.4039521
,,,,,,,,16,59677.19337,2650.689949,536.2166886
,,,,,,,,17,59999.05363,2664.986059,539.1086953
,,,,,,,,18,61284.53035,2722.083253,550.6590721
,,,,,,,,19,63799.29214,2833.781766,573.2549276
,,,,,,,,20,71163.08178,3160.860204,639.4206883
,,,,,,,,21,71132.23537,3159.490095,639.1435246
,,,,,,,,22,68855.18788,3058.350169,618.6836001
,,,,,,,,23,65983.09903,2930.780211,592.8770585
,,,,,,,,24,61775.64356,2743.897094,555.0718651
,,,,,,,,25,56549.53082,2511.768139,508.1137441
,,,,,,,,26,49660.71866,2205.78684,446.2157921
,,,,,,,,27,47781.27775,2122.30746,429.3284768
,,,,,,,,28,47097.7017,2091.94497,423.1863501
,,,,,,,,29,47447.61659,2107.487187,426.3304357
,,,,,,,,30,48466.80961,2152.756821,435.4881771
,,,,,,,,31,52152.92807,2316.483642,468.6090081
,,,,,,,,32,58603.56306,2603.002367,526.5698126
,,,,,,,,33,63385.31628,2815.394144,569.5352358
,,,,,,,,34,64295.02177,2855.800656,577.7092004
,,,,,,,,35,63813.23479,2834.401059,573.3802064
,,,,,,,,36,62755.05419,2787.399708,563.8721504
,,,,,,,,37,63180.7332,2806.30715,567.6969983
,,,,,,,,38,63418.18338,2816.854007,569.8305562
,,,,,,,,39,62164.27239,2761.158873,558.5638065
,,,,,,,,40,61771.59957,2743.717472,555.0355287
,,,,,,,,41,64054.15031,2845.101836,575.5449013
,,,,,,,,42,68519.03729,3043.419323,615.6631907
,,,,,,,,43,76228.45781,3385.849695,684.934544
,,,,,,,,44,78960.72026,3507.208964,709.4847052
,,,,,,,,45,72784.50346,3232.87911,653.989627
,,,,,,,,46,69941.15418,3106.585681,628.4413186
,,,,,,,,47,66747.076,2964.71388,599.7416106
,,,,,,,,48,61825.45191,2746.109438,555.5194074
,,,,,,,,49,57830.9869,2568.686747,519.6279943
,,,,,,,,50,54333.66314,2413.345646,488.2035378
,,,,,,,,51,52807.9454,2345.577635,474.4945266
,,,,,,,,52,52338.29331,2324.717035,470.2745679
,,,,,,,,53,53121.39011,2359.499951,477.3109171
,,,,,,,,54,54945.11156,2440.504433,493.6975771
,,,,,,,,55,61659.96046,2738.758782,554.0324193
,,,,,,,,56,77582.84797,3446.007825,697.1041278
,,,,,,,,57,80459.67929,3573.78843,722.9532818
,,,,,,,,58,76654.62294,3404.778729,688.7637598
,,,,,,,,59,71302.76496,3167.064531,640.6757818
,,,,,,,,60,67101.59552,2980.460621,602.9270701
,,,,,,,,61,66540.15486,2955.523035,597.8823649
,,,,,,,,62,66274.68463,2943.731608,595.4970387
,,,,,,,,63,65146.02709,2893.599874,585.3557272
,,,,,,,,64,65035.78005,2888.703016,584.3651259
,,,,,,,,65,67611.91077,3003.127362,607.5123989
,,,,,,,,66,72149.25393,3204.663146,648.2817278
,,,,,,,,67,79550.6461,3533.41178,714.785358
,,,,,,,,68,81929.09634,3639.055725,736.1564152
,,,,,,,,69,75652.9843,3360.28881,679.7637495
,,,,,,,,70,72734.70348,3230.667137,653.5421598
,,,,,,,,71,67342.35489,2991.154462,605.090362
,,,,,,,,72,61010.25328,2709.900651,548.194614
