Time_Index,ERC_PHDL_onshore_wind_turbine_1,ERC_REST_conventional_hydroelectric_1,ERC_REST_natural_gas_fired_combined_cycle_1,ERC_REST_natural_gas_fired_combined_cycle_2,ERC_REST_natural_gas_fired_combined_cycle_3,ERC_REST_natural_gas_fired_combined_cycle_4,ERC_REST_natural_gas_fired_combustion_turbine_1,ERC_REST_natural_gas_fired_combustion_turbine_2,ERC_REST_nuclear_1,ERC_REST_nuclear_2,ERC_REST_onshore_wind_turbine_1,ERC_REST_small_hydroelectric_1,ERC_REST_solar_photovoltaic_1,ERC_WEST_natural_gas_fired_combined_cycle_1,ERC_WEST_natural_gas_fired_combined_cycle_2,ERC_WEST_natural_gas_fired_combined_cycle_3,ERC_WEST_natural_gas_fired_combined_cycle_4,ERC_WEST_natural_gas_fired_combustion_turbine_1,ERC_WEST_onshore_wind_turbine_1,ERC_WEST_solar_photovoltaic_1,ERC_REST_naturalgas_ccccsavgcf_conservative_0,ERC_REST_naturalgas_ccavgcf_moderate_0,ERC_REST_naturalgas_ctavgcf_moderate_0,ERC_REST_battery_moderate_0,ERC_REST_nuclear_nuclear_moderate_0,ERC_REST_offshorewind_class10_moderate_floating_0_1,ERC_REST_utilitypv_class1_moderate_0_2_1,ERC_REST_utilitypv_class1_moderate_0_2_2,ERC_REST_utilitypv_class1_moderate_0_2_3,ERC_REST_landbasedwind_class4_moderate_1,ERC_REST_landbasedwind_class4_moderate_2,ERC_REST_landbasedwind_class4_moderate_3,ERC_WEST_naturalgas_ccccsavgcf_conservative_0,ERC_WEST_naturalgas_ccavgcf_moderate_0,ERC_WEST_naturalgas_ctavgcf_moderate_0,ERC_WEST_battery_moderate_0,ERC_WEST_nuclear_nuclear_moderate_0,ERC_WEST_utilitypv_class1_moderate_0_2_1,ERC_WEST_utilitypv_class1_moderate_0_2_2,ERC_WEST_landbasedwind_class4_moderate_1,ERC_PHDL_naturalgas_ccccsavgcf_conservative_0,ERC_PHDL_naturalgas_ccavgcf_moderate_0,ERC_PHDL_naturalgas_ctavgcf_moderate_0,ERC_PHDL_battery_moderate_0,ERC_PHDL_nuclear_nuclear_moderate_0,ERC_PHDL_utilitypv_class1_moderate_0_2_1,ERC_PHDL_utilitypv_class1_moderate_0_2_2,ERC_PHDL_landbasedwind_class4_moderate_1
1,0.683573049,0.0272,1,1,1,1,1,1,1,1,0.740515544,0.0272,0,1,1,1,1,1,0.691718641,0,1,1,1,1,1,0.952221751,0,0,0,0.740515544,0.707320338,0.617105024,1,1,1,1,1,0,0,0.691718641,1,1,1,1,1,0,0,0.683573049
2,0.661116335,0.0271,1,1,1,1,1,1,1,1,0.749561233,0.0271,0,1,1,1,1,1,0.690084396,0,1,1,1,1,1,0.982249796,0,0,0,0.749561233,0.721593474,0.594889923,1,1,1,1,1,0,0,0.690084396,1,1,1,1,1,0,0,0.661116335
3,0.619966284,0.027,1,1,1,1,1,1,1,1,0.760917417,0.027,0,1,1,1,1,1,0.684324036,0,1,1,1,1,1,0.955300808,0,0,0,0.760917417,0.730696321,0.566569685,1,1,1,1,1,0,0,0.684324036,1,1,1,1,1,0,0,0.619966284
4,0.541693964,0.027,1,1,1,1,1,1,1,1,0.7663149,0.027,0,1,1,1,1,1,0.669178359,0,1,1,1,1,1,0.918506563,0,0,0,0.7663149,0.72785315,0.538821785,1,1,1,1,1,0,0,0.669178359,1,1,1,1,1,0,0,0.541693964
5,0.438497189,0.0269,1,1,1,1,1,1,1,1,0.766350477,0.0269,0,1,1,1,1,1,0.641470112,0,1,1,1,1,1,0.72589004,0,0,0,0.766350477,0.720944868,0.517952201,1,1,1,1,1,0,0,0.641470112,1,1,1,1,1,0,0,0.438497189
6,0.352846232,0.0268,1,1,1,1,1,1,1,1,0.76405515,0.0268,0,1,1,1,1,1,0.611722786,0,1,1,1,1,1,0.473952293,0,0,0,0.76405515,0.708858147,0.499495375,1,1,1,1,1,0,0,0.611722786,1,1,1,1,1,0,0,0.352846232
7,0.28928173,0.0268,1,1,1,1,1,1,1,1,0.757062453,0.0268,0,1,1,1,1,1,0.584880021,0,1,1,1,1,1,0.271733403,0,0,0,0.757062453,0.693228527,0.481395942,1,1,1,1,1,0,0,0.584880021,1,1,1,1,1,0,0,0.28928173
8,0.228350568,0.0267,1,1,1,1,1,1,1,1,0.750232759,0.0267,0,1,1,1,1,1,0.556114127,0,1,1,1,1,1,0.108007997,0,0,0,0.750232759,0.676598213,0.457061226,1,1,1,1,1,0,0,0.556114127,1,1,1,1,1,0,0,0.228350568
9,0.148987776,0.0266,1,1,1,1,1,1,1,1,0.740086219,0.0266,0.049694556,1,1,1,1,1,0.527033901,0.010419535,1,1,1,1,1,0.095056012,0.049694556,0.047709694,0.037891761,0.740086219,0.662792028,0.434894021,1,1,1,1,1,0.010419535,0.010803376,0.527033901,1,1,1,1,1,0,0.000552541,0.148987776
10,0.081901657,0.0266,1,1,1,1,1,1,1,1,0.71611634,0.0266,0.501423823,1,1,1,1,1,0.49522094,0.314546619,1,1,1,1,1,0.440000325,0.501423823,0.491317123,0.432292081,0.71611634,0.623900924,0.388354983,1,1,1,1,1,0.314546619,0.315208811,0.49522094,1,1,1,1,1,0.22258403,0.241148307,0.081901657
