Conventional_diesel_co2_per_mmbtu,Conventional_diesel_price_per_mmbtu,Syn_diesel_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3
0.0741,25.41,0.0741,1,15693.6,8816.3,3150.1
,,,2,15693.6,8816.3,3150.1
,,,3,15693.6,8816.3,3150.1
,,,4,15693.6,8816.3,3150.1
,,,5,15693.6,8816.3,3150.1
,,,6,15693.6,8816.3,3150.1
,,,7,15693.6,8816.3,3150.1
,,,8,15693.6,8816.3,3150.1
,,,9,15693.6,8816.3,3150.1
,,,10,15693.6,8816.3,3150.1
,,,11,15693.6,8816.3,3150.1
,,,12,15693.6,8816.3,3150.1
,,,13,15693.6,8816.3,3150.1
,,,14,15693.6,8816.3,3150.1
,,,15,15693.6,8816.3,3150.1
,,,16,15693.6,8816.3,3150.1
,,,17,15693.6,8816.3,3150.1
,,,18,15693.6,8816.3,3150.1
,,,19,15693.6,8816.3,3150.1
,,,20,15693.6,8816.3,3150.1
,,,21,15693.6,8816.3,3150.1
,,,22,15693.6,8816.3,3150.1
,,,23,15693.6,8816.3,3150.1
,,,24,15693.6,8816.3,3150.1
,,,25,15693.6,8816.3,3150.1
,,,26,15693.6,8816.3,3150.1
,,,27,15693.6,8816.3,3150.1
,,,28,15693.6,8816.3,3150.1
,,,29,15693.6,8816.3,3150.1
,,,30,15693.6,8816.3,3150.1
,,,31,15693.6,8816.3,3150.1
,,,32,15693.6,8816.3,3150.1
,,,33,15693.6,8816.3,3150.1
,,,34,15693.6,8816.3,3150.1
,,,35,15693.6,8816.3,3150.1
,,,36,15693.6,8816.3,3150.1
,,,37,15693.6,8816.3,3150.1
,,,38,15693.6,8816.3,3150.1
,,,39,15693.6,8816.3,3150.1
,,,40,15693.6,8816.3,3150.1
,,,41,15693.6,8816.3,3150.1
,,,42,15693.6,8816.3,3150.1
,,,43,15693.6,8816.3,3150.1
,,,44,15693.6,8816.3,3150.1
,,,45,15693.6,8816.3,3150.1
,,,46,15693.6,8816.3,3150.1
,,,47,15693.6,8816.3,3150.1
,,,48,15693.6,8816.3,3150.1
,,,49,15693.6,8816.3,3150.1
,,,50,15693.6,8816.3,3150.1
,,,51,15693.6,8816.3,3150.1
,,,52,15693.6,8816.3,3150.1
,,,53,15693.6,8816.3,3150.1
,,,54,15693.6,8816.3,3150.1
,,,55,15693.6,8816.3,3150.1
,,,56,15693.6,8816.3,3150.1
,,,57,15693.6,8816.3,3150.1
,,,58,15693.6,8816.3,3150.1
,,,59,15693.6,8816.3,3150.1
,,,60,15693.6,8816.3,3150.1
,,,61,15693.6,8816.3,3150.1
,,,62,15693.6,8816.3,3150.1
,,,63,15693.6,8816.3,3150.1
,,,64,15693.6,8816.3,3150.1
,,,65,15693.6,8816.3,3150.1
,,,66,15693.6,8816.3,3150.1
,,,67,15693.6,8816.3,3150.1
,,,68,15693.6,8816.3,3150.1
,,,69,15693.6,8816.3,3150.1
,,,70,15693.6,8816.3,3150.1
,,,71,15693.6,8816.3,3150.1
,,,72,15693.6,8816.3,3150.1
,,,73,15693.6,8816.3,3150.1
,,,74,15693.6,8816.3,3150.1
,,,75,15693.6,8816.3,3150.1
,,,76,15693.6,8816.3,3150.1
,,,77,15693.6,8816.3,3150.1
,,,78,15693.6,8816.3,3150.1
,,,79,15693.6,8816.3,3150.1
,,,80,15693.6,8816.3,3150.1
,,,81,15693.6,8816.3,3150.1
,,,82,15693.6,8816.3,3150.1
,,,83,15693.6,8816.3,3150.1
,,,84,15693.6,8816.3,3150.1
,,,85,15693.6,8816.3,3150.1
,,,86,15693.6,8816.3,3150.1
,,,87,15693.6,8816.3,3150.1
,,,88,15693.6,8816.3,3150.1
,,,89,15693.6,8816.3,3150.1
,,,90,15693.6,8816.3,3150.1
,,,91,15693.6,8816.3,3150.1
,,,92,15693.6,8816.3,3150.1
,,,93,15693.6,8816.3,3150.1
,,,94,15693.6,8816.3,3150.1
,,,95,15693.6,8816.3,3150.1
,,,96,15693.6,8816.3,3150.1
,,,97,15693.6,8816.3,3150.1
,,,98,15693.6,8816.3,3150.1
,,,99,15693.6,8816.3,3150.1
,,,100,15693.6,8816.3,3150.1
,,,101,15693.6,8816.3,3150.1
,,,102,15693.6,8816.3,3150.1
,,,103,15693.6,8816.3,3150.1
,,,104,15693.6,8816.3,3150.1
,,,105,15693.6,8816.3,3150.1
,,,106,15693.6,8816.3,3150.1
,,,107,15693.6,8816.3,3150.1
,,,108,15693.6,8816.3,3150.1
,,,109,15693.6,8816.3,3150.1
,,,110,15693.6,8816.3,3150.1
,,,111,15693.6,8816.3,3150.1
,,,112,15693.6,8816.3,3150.1
,,,113,15693.6,8816.3,3150.1
,,,114,15693.6,8816.3,3150.1
,,,115,15693.6,8816.3,3150.1
,,,116,15693.6,8816.3,3150.1
,,,117,15693.6,8816.3,3150.1
,,,118,15693.6,8816.3,3150.1
,,,119,15693.6,8816.3,3150.1
,,,120,15693.6,8816.3,3150.1
,,,121,15693.6,8816.3,3150.1
,,,122,15693.6,8816.3,3150.1
,,,123,15693.6,8816.3,3150.1
,,,124,15693.6,8816.3,3150.1
,,,125,15693.6,8816.3,3150.1
,,,126,15693.6,8816.3,3150.1
,,,127,15693.6,8816.3,3150.1
,,,128,15693.6,8816.3,3150.1
,,,129,15693.6,8816.3,3150.1
,,,130,15693.6,8816.3,3150.1
,,,131,15693.6,8816.3,3150.1
,,,132,15693.6,8816.3,3150.1
,,,133,15693.6,8816.3,3150.1
,,,134,15693.6,8816.3,3150.1
,,,135,15693.6,8816.3,3150.1
,,,136,15693.6,8816.3,3150.1
,,,137,15693.6,8816.3,3150.1
,,,138,15693.6,8816.3,3150.1
,,,139,15693.6,8816.3,3150.1
,,,140,15693.6,8816.3,3150.1
,,,141,15693.6,8816.3,3150.1
,,,142,15693.6,8816.3,3150.1
,,,143,15693.6,8816.3,3150.1
,,,144,15693.6,8816.3,3150.1
,,,145,15693.6,8816.3,3150.1
,,,146,15693.6,8816.3,3150.1
,,,147,15693.6,8816.3,3150.1
,,,148,15693.6,8816.3,3150.1
,,,149,15693.6,8816.3,3150.1
,,,150,15693.6,8816.3,3150.1
,,,151,15693.6,8816.3,3150.1
,,,152,15693.6,8816.3,3150.1
,,,153,15693.6,8816.3,3150.1
,,,154,15693.6,8816.3,3150.1
,,,155,15693.6,8816.3,3150.1
,,,156,15693.6,8816.3,3150.1
,,,157,15693.6,8816.3,3150.1
,,,158,15693.6,8816.3,3150.1
,,,159,15693.6,8816.3,3150.1
,,,160,15693.6,8816.3,3150.1
,,,161,15693.6,8816.3,3150.1
,,,162,15693.6,8816.3,3150.1
,,,163,15693.6,8816.3,3150.1
,,,164,15693.6,8816.3,3150.1
,,,165,15693.6,8816.3,3150.1
,,,166,15693.6,8816.3,3150.1
,,,167,15693.6,8816.3,3150.1
,,,168,15693.6,8816.3,3150.1
,,,169,15693.6,8816.3,3150.1
,,,170,15693.6,8816.3,3150.1
,,,171,15693.6,8816.3,3150.1
,,,172,15693.6,8816.3,3150.1
,,,173,15693.6,8816.3,3150.1
,,,174,15693.6,8816.3,3150.1
,,,175,15693.6,8816.3,3150.1
,,,176,15693.6,8816.3,3150.1
,,,177,15693.6,8816.3,3150.1
,,,178,15693.6,8816.3,3150.1
,,,179,15693.6,8816.3,3150.1
,,,180,15693.6,8816.3,3150.1
,,,181,15693.6,8816.3,3150.1
,,,182,15693.6,8816.3,3150.1
,,,183,15693.6,8816.3,3150.1
